"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"666","Roman Josi","NSH","D","201","5175.9333333333","33","80","46","34","113","45.02","465","7.10","22.54","872","597","244","37","14","47","52","26","26","0","0","34","99","63","116","307","432","0","1","0.00"
"737","Marcus Johansson","WSH","L","196","3317.9333333333","34","79","45","34","113","57.95","285","11.93","30.05","493","382","320","150","13","25","18","9","9","0","0","46","98","76","132","287","51","142","235","37.67"
"753","Victor Hedman","T.B","D","178","4018.1833333333","27","86","45","41","113","51.36","361","7.48","19.67","746","519","176","35","18","35","124","55","52","2","1","32","152","80","193","298","295","0","0","-"
"1004","Jonathan Huberdeau","FLA","L","196","3216.4833333333","38","75","44","31","113","71.52","390","9.74","40.41","637","496","383","190","24","53","93","45","44","1","0","81","72","83","174","271","66","18","34","34.62"
"558","Teddy Purcell","EDM, T.B","L","211","3544.6","35","77","56","21","112","61.20","397","8.82","34.27","704","542","372","131","25","46","50","21","20","0","1","20","100","102","48","176","38","10","19","34.48"
"576","Kevin Shattenkirk","STL","D","185","3951.0166666667","23","89","37","52","112","49.78","407","5.65","20.55","846","564","194","20","10","39","110","44","40","2","2","20","94","85","169","257","246","0","0","-"
"303","Clarke MacArthur","OTT, TOR","L","181","3042.0833333333","48","63","41","22","111","63.43","361","13.30","40.47","633","491","387","181","19","46","138","56","53","0","3","48","102","79","222","230","52","28","32","46.67"
"757","Oliver Ekman-Larsson","ARI, PHX","D","210","5343.6833333333","41","70","36","34","111","45.87","564","7.27","34.99","1237","821","323","59","19","83","116","58","58","0","0","59","105","77","374","373","197","0","1","0.00"
"28","Shane Doan","ARI, PHX","R","196","3665.3333333333","50","60","39","21","110","59.46","485","10.31","49.44","853","671","477","241","28","50","136","57","52","4","1","47","82","114","442","314","58","13","25","34.21"
"337","Mark Giordano","CGY","D","172","4239.0333333333","29","81","37","44","110","48.03","395","7.34","21.52","912","576","229","29","11","42","134","63","61","2","0","52","125","108","197","306","324","0","0","-"
"88","Mike Fisher","NSH","C","172","3309","49","60","38","22","109","63.01","356","13.76","35.3","609","481","327","142","12","33","126","48","41","6","1","33","67","84","336","180","179","1472","1386","51.50"
"140","Brad Boyes","FLA, NYI","R","204","3424.2833333333","45","64","39","25","109","61.58","424","10.61","44.15","756","606","449","183","26","36","64","30","30","0","0","17","100","98","150","228","93","138","120","53.49"
"355","Mike Green","WSH","D","177","3836.7","31","78","50","28","109","51.17","427","7.26","23.08","876","608","226","27","17","27","118","55","54","0","1","36","151","76","180","369","261","0","0","-"
