"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"142","Pavel Kubina","ATL, PHI, T.B","D","224","4568.0833333333","13","63","25","38","76","35.02","312","4.17","15.56","646","431","140","21","10","32","202","90","85","4","1","28","98","92","314","367","345","0","0","-"
"789","Andy Greene","N.J","D","216","4761.4666666667","11","65","29","36","76","41.30","230","4.78","11.74","536","358","98","18","7","22","52","25","25","0","0","25","108","83","139","321","408","0","0","-"
"913","P.K. Subban","MTL","D","160","3723.35","21","55","24","31","76","42.94","406","5.17","18.8","799","569","157","21","16","42","245","100","90","7","3","84","147","65","216","264","221","0","0","-"
"97","Radek Dvorak","ATL, DAL, FLA","R","215","3428.25","25","50","29","21","75","72.82","332","7.53","28.16","558","448","291","125","21","29","56","28","28","0","0","47","82","113","152","313","141","20","41","32.79"
"260","Ruslan Fedotenko","NYR, PIT","L","219","3154.3","30","45","27","18","75","61.48","372","8.06","39.11","664","514","426","208","21","40","91","40","38","1","1","60","34","69","368","290","153","38","56","40.43"
"431","Sean Bergenheim","FLA, NYI, T.B","L","205","3021.6833333333","41","34","20","14","75","65.79","500","8.20","49.04","853","683","513","258","43","50","149","72","71","1","0","79","56","131","345","296","95","33","46","41.77"
"1007","John Carlson","WSH","D","186","3975.0166666667","17","58","23","35","75","39.89","317","5.36","15.95","672","460","153","29","16","25","72","32","31","0","1","27","191","101","182","245","345","0","1","0.00"
"313","Paul Gaustad","BUF, NSH","C","216","3282.9333333333","31","43","29","14","74","64.91","303","10.23","28.02","500","398","294","164","17","36","259","94","77","13","4","73","60","61","354","218","125","1950","1401","58.19"
"413","Trevor Daley","DAL","D","238","5262.3666666667","18","56","25","31","74","31.76","372","4.84","21.22","785","560","205","49","17","38","99","44","42","1","1","21","104","79","113","229","370","0","0","-"
"599","Andrej Meszaros","PHI, T.B","D","224","4626.7666666667","21","53","33","20","74","35.58","403","5.21","19.24","832","560","180","33","17","46","130","64","64","0","0","24","105","81","445","267","335","0","0","-"
"32","Roman Hamrlik","MTL, WSH","D","222","4824.8","13","60","31","29","73","34.11","287","4.53","13.74","632","416","150","33","8","35","171","80","78","1","1","20","182","85","194","236","498","0","0","-"
"230","Taylor Pyatt","PHX","L","223","3073.3666666667","39","34","19","15","73","58.87","358","10.89","37.1","602","496","398","212","21","34","89","39","36","3","0","34","29","56","395","366","98","12","20","37.50"
"386","Vernon Fiddler","DAL, PHX","C","229","3340.7333333333","22","51","31","20","73","67.59","339","6.49","28.23","576","465","290","139","17","28","152","58","51","4","3","91","41","83","262","327","174","1782","1612","52.50"
"1076","Marcus Johansson","WSH","L","149","2360.1833333333","27","46","32","14","73","62.39","192","14.06","19.65","355","257","222","94","8","19","18","9","9","0","0","40","76","86","108","196","50","578","801","41.91"
"55","Bryan McCabe","FLA, NYR","D","149","3223.7833333333","15","56","27","29","71","46.71","291","5.15","14.83","608","388","122","14","3","37","117","52","50","1","1","22","77","26","199","93","178","0","0","-"
"312","Matthew Lombardi","NSH, PHX, TOR","C","142","2270.1666666667","27","44","29","15","71","66.36","281","9.61","26.46","443","366","261","119","17","27","46","23","23","0","0","15","53","38","120","228","63","619","626","49.72"
"412","Scottie Upshall","CBJ, FLA, PHX","R","157","2219.3","42","29","12","17","71","73.20","363","11.57","34.67","646","512","357","167","19","33","131","54","51","1","2","50","41","48","232","224","41","18","30","37.50"
"730","Cody Franson","NSH, TOR","D","198","3002.9833333333","19","52","27","25","71","49.31","311","6.11","14.46","697","463","129","7","14","30","68","34","34","0","0","13","106","68","238","160","158","0","0","-"
"632","Ryan Jones","EDM, NSH","L","209","2861.2333333333","43","27","12","15","70","67.31","325","13.23","34.94","564","434","314","164","23","29","102","45","41","4","0","70","93","100","342","228","139","13","32","28.89"
"766","Anton Stralman","CBJ, NYR","D","177","3408.5","9","61","22","39","70","44.30","256","3.52","14.29","516","349","140","27","9","22","79","38","37","1","0","26","44","42","178","284","172","0","0","-"
"988","Zach Bogosian","ATL, WPG","D","217","4840.4166666667","20","50","19","31","70","38.04","460","4.35","21.39","996","700","179","23","16","46","161","62","53","7","2","37","146","91","424","190","324","0","0","-"
"1100","Dmitry Kulikov","FLA","D","198","3923.7333333333","13","57","31","26","70","41.18","274","4.74","14.92","638","421","137","16","5","35","113","55","54","1","0","32","106","53","290","471","243","0","0","-"
"146","Sergei Samsonov","CAR, FLA","L","150","2171.4333333333","27","42","29","13","69","65.71","227","11.89","26.07","396","311","267","134","9","17","46","22","22","0","0","18","54","76","90","125","51","3","12","20.00"
"891","TJ Galiardi","COL, S.J","L","174","2739.8833333333","31","38","19","19","69","71.88","295","10.51","28.01","534","422","303","133","16","26","93","43","42","1","0","48","54","132","238","300","84","302","326","48.09"
"1088","Victor Hedman","T.B","D","214","4611.5333333333","12","57","26","31","69","33.17","273","4.40","13.3","652","413","152","29","10","33","214","95","91","2","2","56","145","96","209","275","309","0","0","-"
"1154","Cam Fowler","ANA","D","158","3589.25","15","54","26","28","69","41.32","246","6.10","12.96","522","343","140","19","5","23","38","19","19","0","0","13","83","46","88","208","187","1","0","100.00"
"95","Daymond Langkow","CGY, PHX","C","149","2570.5333333333","25","43","19","24","68","65.38","244","10.25","25.66","440","358","270","122","14","25","44","22","22","0","0","21","61","102","171","138","106","956","1209","44.16"
"667","Daniel Winnik","COL, PHX, S.J","L","238","3698.7666666667","23","45","24","21","68","66.02","434","5.30","32.66","716","579","352","148","31","50","99","45","42","3","0","55","50","134","253","344","156","108","137","44.08"
"760","Matt D'Agostini","MTL, STL","R","184","2441.4333333333","32","36","21","15","68","60.18","318","10.06","28.19","590","447","295","126","20","27","95","40","35","5","0","37","27","62","151","286","71","36","58","38.30"
"279","Alex Frolov","L.A, NYR","L","124","2113.65","26","41","25","16","67","67.68","260","10.00","27.63","427","347","268","160","9","25","34","17","17","0","0","24","50","39","97","123","29","8","11","42.11"
"497","Brian Boyle","NYR","C","235","3138.2","36","31","18","13","67","60.91","456","7.89","46.26","792","626","508","233","22","31","180","63","50","10","3","65","40","78","619","255","210","1288","1351","48.81"
"844","Jamie McBain","CAR","D","166","3312.6166666667","18","49","23","26","67","39.18","251","7.17","12.81","575","352","143","23","8","30","36","18","18","0","0","21","85","60","62","170","257","0","0","-"
"135","Brett Clark","COL, T.B","D","228","4280.0333333333","14","52","23","29","66","36.07","223","6.28","14","538","344","146","41","11","34","62","31","31","0","0","15","119","66","290","249","518","0","0","-"
"214","Chris Neil","OTT","R","220","2756.5666666667","29","37","24","13","66","61.11","333","8.71","34.91","554","443","359","195","15","41","563","156","103","35","18","114","55","90","774","254","49","5","7","41.67"
"351","Jay McClement","COL, STL","C","242","3807.1833333333","28","38","27","11","66","60.00","331","8.46","31.57","565","453","345","167","25","42","83","39","38","1","0","30","65","110","213","189","169","1744","1693","50.74"
"388","Marc-Andre Bergeron","MTL, T.B","D","126","2065.6","19","47","17","30","66","52.80","240","7.92","13.22","558","370","119","16","7","39","44","22","22","0","0","16","76","42","100","159","108","0","0","-"
"200","Francois Beauchemin","ANA, TOR","D","245","6052.4166666667","18","47","16","31","65","28.63","415","4.34","19.85","909","614","179","38","19","23","113","47","43","3","1","50","209","108","364","318","531","4","3","57.14"
"454","Erik Christensen","ANA, MIN, NYR","C","170","2174.7666666667","26","39","25","14","65","71.43","216","12.04","24.4","427","316","274","114","10","22","52","26","26","0","0","23","43","61","112","122","31","804","811","49.78"
"606","Bryan Bickell","CHI","L","165","2094.6","29","36","19","17","65","66.33","234","12.39","18.36","413","320","209","65","14","13","93","34","28","5","1","43","29","59","328","242","38","3","12","20.00"
"111","J-P Dumont","NSH","R","144","1875.9","27","37","23","14","64","67.37","201","13.43","17.62","344","265","195","74","13","20","36","18","18","0","0","20","57","68","65","93","27","1","1","50.00"
"360","Jordin Tootoo","NSH","R","182","2207.1","20","44","33","11","64","81.01","322","6.21","21.18","569","442","241","74","28","18","193","62","44","15","3","84","113","80","318","238","41","8","15","34.78"
"322","Steve Montador","BUF, CHI","D","203","3540.6833333333","15","48","20","28","63","40.38","309","4.85","13.43","576","407","130","32","12","24","203","73","58","13","2","39","131","47","189","298","265","0","2","0.00"
"298","Paul Martin","N.J, PIT","D","172","3973.3","7","55","25","30","62","32.98","218","3.21","12.3","457","303","130","33","6","27","36","18","18","0","0","27","76","73","92","204","268","0","0","-"
"428","Gregory Campbell","BOS, FLA","C","218","2997.35","23","39","12","27","62","65.26","256","8.98","25.8","443","344","281","143","19","23","226","66","37","28","1","62","41","44","384","247","177","932","919","50.35"
"430","Max Talbot","PHI, PIT","C","208","3081.3833333333","29","33","26","7","62","63.27","281","10.32","29.77","466","364","302","157","23","27","155","61","54","5","2","71","45","63","381","437","112","777","902","46.28"
"489","Eric Fehr","WPG, WSH","C","156","1831.2666666667","33","29","17","12","62","68.13","319","10.34","34.32","556","441","345","160","13","36","52","26","26","0","0","32","20","68","96","110","54","1","2","33.33"
"549","Drew Miller","DET, T.B","L","227","2826.8333333333","34","28","14","14","62","71.26","319","10.66","28.43","507","415","303","149","15","21","45","19","18","1","0","41","33","61","267","356","176","23","62","27.06"
"69","Ed Jovanovski","FLA, PHX","D","182","3553.3166666667","18","43","22","21","61","44.20","248","7.26","10.82","509","337","105","22","9","17","123","53","49","3","1","34","108","38","264","278","272","0","1","0.00"
"159","Maxim Afinogenov","ATL","R","82","1426.2833333333","24","37","20","17","61","71.76","181","13.26","17.36","321","250","185","72","14","11","46","23","23","0","0","28","63","65","32","32","21","1","2","33.33"
"180","Brad Stuart","DET","D","230","5047.7166666667","13","48","21","27","61","32.11","330","3.94","14.9","697","490","136","20","9","23","91","40","37","3","0","50","136","65","514","457","362","1","1","50.00"
"224","Jeff Halpern","L.A, MTL, T.B, WSH","C","212","2818.0666666667","24","37","23","14","61","72.62","196","12.24","19.7","328","262","200","107","8","15","92","42","40","2","0","41","45","64","140","217","144","997","792","55.73"
"695","Marc Staal","NYR","D","205","4793.55","17","44","18","26","61","33.70","255","6.67","16.8","519","358","202","56","13","24","110","54","54","0","0","40","99","113","373","370","274","0","0","-"
"747","Nathan Gerbe","BUF","C","136","1880.6666666667","24","37","24","13","61","72.62","337","7.12","25.2","525","422","261","102","28","20","70","35","35","0","0","52","37","44","111","124","43","12","27","30.77"
"989","Luke Schenn","TOR","D","240","4434.3666666667","12","49","24","25","61","34.08","310","3.87","11.28","749","462","128","16","12","30","146","54","42","12","0","45","194","88","694","446","399","0","0","-"
"141","Sami Salo","VAN","D","164","3366.3166666667","21","39","17","22","60","33.71","294","7.14","13.49","613","420","101","8","6","21","42","21","21","0","0","16","82","42","78","139","165","0","0","-"
"424","Pierre-Marc Bouchard","MIN","C","97","1541.8166666667","21","39","17","22","60","68.18","182","11.54","15.34","313","239","152","62","15","17","34","12","11","0","1","17","32","48","18","67","19","22","40","35.48"
"620","Brandon Prust","CGY, NYR","L","233","2636.3166666667","23","37","20","17","60","66.67","199","11.56","24.41","324","267","233","151","9","21","479","121","52","63","6","123","64","52","376","273","102","20","25","44.44"
"690","Gilbert Brule","EDM, PHX","C","139","1871.8166666667","29","31","17","14","60","68.97","249","11.65","21.92","395","321","226","112","6","21","90","39","35","4","0","40","78","44","265","197","54","258","236","52.23"
"38","Adrian Aucoin","PHX","D","221","4769.95","13","46","16","30","59","30.73","335","3.88","14.36","748","515","124","12","8","40","150","75","75","0","0","31","61","69","363","77","209","2","0","100.00"
"479","Braydon Coburn","PHI","D","244","5225.2166666667","11","48","28","20","59","26.70","349","3.15","15.31","792","539","167","21","13","55","163","76","73","3","0","36","139","87","459","371","361","0","1","0.00"
"496","Anthony Stewart","ATL, CAR","R","157","1823.4333333333","23","36","20","16","59","69.41","205","11.22","20.73","340","278","183","102","14","29","85","25","19","3","3","20","41","49","190","109","50","10","25","28.57"
"731","Vladimir Sobotka","BOS, STL","L","199","2885.1833333333","16","43","30","13","59","62.77","259","6.18","22.54","462","361","242","110","20","17","141","58","53","3","2","48","33","57","425","270","87","693","588","54.10"
"978","Jason Garrison","FLA","D","189","4042.5166666667","23","36","20","16","59","41.26","308","7.47","14.18","668","462","116","11","4","30","81","37","36","1","0","15","82","43","300","347","303","1","1","50.00"
"117","Marco Sturm","BOS, FLA, L.A, VAN, WSH","L","159","2363.9666666667","30","28","15","13","58","58.00","325","9.23","29.57","512","425","291","148","21","38","78","28","24","2","2","26","42","55","141","145","44","17","22","43.59"
"129","Toni Lydman","ANA, BUF","D","219","4391.7666666667","7","51","20","31","58","30.85","222","3.15","7.96","467","322","85","12","6","22","118","59","59","0","0","12","122","34","401","234","429","0","0","-"
"263","Sean Avery","NYR","L","160","1882.1166666667","17","41","24","17","58","76.32","291","5.84","28.23","492","391","320","140","14","28","355","101","68","23","10","94","35","40","270","355","42","19","22","46.34"
"866","Ryan Wilson","COL","D","187","3424.8166666667","7","51","23","28","58","40.28","171","4.09","7.28","382","250","88","12","6","24","137","49","36","13","0","46","94","81","318","326","256","0","1","0.00"
"965","Jason Demers","S.J","D","183","3209.2166666667","10","48","20","28","58","37.66","230","4.35","13.84","517","349","124","22","9","39","71","34","33","1","0","31","108","55","189","233","170","0","0","-"
"132","Michal Rozsival","NYR, PHX","D","201","4166.5833333333","10","47","17","30","57","34.13","184","5.43","10.45","424","282","113","19","4","25","154","73","72","0","1","34","68","71","298","565","329","1","0","100.00"
"712","Marc-Edouard Vlasic","S.J","D","226","4981.75","11","46","22","24","57","26.51","309","3.56","18.4","755","509","182","40","16","46","89","35","32","1","2","46","116","61","147","372","422","0","0","-"
"723","Kris Russell","CBJ, STL","D","198","3515.5","18","39","19","20","57","36.31","252","7.14","14.95","525","359","161","40","10","17","94","40","36","4","0","39","57","62","225","249","302","0","0","-"
"113","Derek Morris","BOS, PHX","D","212","4371.6333333333","11","45","20","25","56","33.94","275","4.00","10.48","604","415","93","10","13","21","133","57","53","3","1","23","83","38","277","216","326","2","2","50.00"
"277","Brooks Orpik","PIT","D","209","4429.0666666667","5","51","23","28","56","28.87","161","3.11","5.51","373","247","71","9","6","20","191","81","77","1","3","41","77","41","708","312","350","1","0","100.00"
"376","David Moss","CGY","R","154","2119.9666666667","27","29","14","15","56","66.67","343","7.87","30.33","577","465","288","153","25","30","50","24","24","0","0","23","66","68","214","150","87","265","362","42.26"
"537","Kyle Quincey","COL, DET","D","172","3850.3333333333","13","43","15","28","56","31.28","346","3.76","16.57","720","475","173","25","10","46","183","83","79","3","1","37","94","77","244","249","263","0","2","0.00"
"806","Jamie McGinn","COL, S.J","L","186","2206.3","31","25","16","9","56","68.29","298","10.40","29.17","508","421","303","147","18","32","108","44","39","4","1","37","41","65","349","273","72","21","13","61.76"
"846","Shawn Matthias","FLA","L","185","2288.75","23","33","21","12","56","68.29","290","7.93","29.04","452","369","302","123","21","25","75","26","20","5","1","28","28","65","177","202","73","602","678","47.03"
"114","Marty Reasoner","ATL, FLA, NYI","C","223","3116.3333333333","19","36","21","15","55","68.75","279","6.81","26.54","504","381","322","153","15","32","80","39","39","0","0","36","44","128","147","203","137","1515","1347","52.94"
"276","Ron Hainsey","ATL, WPG","D","218","4436.1333333333","8","47","22","25","55","32.35","261","3.07","11.28","558","378","123","21","10","28","86","39","37","2","0","15","130","87","126","216","454","0","0","-"
"338","Colby Armstrong","ATL, TOR","R","158","2245.15","24","31","18","13","55","63.95","184","13.04","19.89","325","253","210","95","14","6","108","41","34","6","1","58","48","101","199","225","62","20","26","43.48"
"650","Mike Santorelli","FLA, NSH","C","167","2386.2666666667","31","24","13","11","55","63.22","346","8.96","34.07","557","448","341","138","20","37","46","23","23","0","0","22","33","56","118","212","45","742","784","48.62"
"677","Ryan Shannon","OTT, T.B","R","190","2399.3666666667","20","35","21","14","55","65.48","273","7.33","22.43","451","359","247","103","14","24","54","27","27","0","0","30","42","94","92","172","70","128","170","42.95"
"684","Guillaume Latendresse","MIN, MTL","L","105","1549.2333333333","35","20","19","1","55","66.27","214","16.36","24.57","392","313","248","131","13","22","44","22","22","0","0","23","25","47","212","126","25","3","16","15.79"
"5","Jaromir Jagr","PHI","R","73","1192.2833333333","19","35","21","14","54","65.06","170","11.18","19.81","324","250","215","88","7","18","30","15","15","0","0","18","43","22","14","90","12","0","1","0.00"
"544","Brad Richardson","L.A","R","208","2599.1333333333","23","31","18","13","54","65.85","349","6.59","30.73","627","481","335","147","23","32","114","45","40","4","1","69","66","79","274","355","43","313","315","49.84"
"809","Jiri Tlusty","CAR, TOR","L","156","1990.8333333333","24","30","14","16","54","62.79","206","11.65","21.32","374","283","218","107","8","22","46","21","21","0","0","20","30","57","129","202","85","7","21","25.00"
"917","Kyle Turris","OTT, PHX","C","120","1659.7166666667","23","31","20","11","54","67.50","258","8.91","22.02","425","327","227","91","9","30","47","22","21","1","0","23","37","35","53","120","29","608","655","48.14"
"933","Carl Gunnarsson","TOR","D","187","3811.8666666667","11","43","11","32","54","36.73","203","5.42","9.41","464","283","109","20","9","22","44","22","22","0","0","25","145","66","223","370","349","0","2","0.00"
"139","Samuel Pahlsson","CBJ, VAN","C","241","3725.8166666667","14","39","22","17","53","60.23","294","4.76","22.87","513","402","264","107","19","24","96","48","48","0","0","36","35","100","436","127","121","1888","1709","52.49"
"339","Tim Gleason","CAR","D","225","4717.2833333333","8","45","23","22","53","29.78","225","3.56","8.7","542","343","96","15","12","39","234","67","46","14","7","61","100","57","493","143","368","0","0","-"
"621","Andrej Sekera","BUF","D","194","3809.85","10","43","17","26","53","31.55","235","4.26","11.36","530","335","118","33","9","20","58","25","24","0","1","35","106","75","160","344","225","0","2","0.00"
"637","Torrey Mitchell","S.J","C","198","2465.9333333333","20","33","17","16","53","66.25","275","7.27","26","473","369","258","114","24","30","102","42","39","2","1","58","84","86","210","223","79","224","267","45.62"
"825","Peter Mueller","COL, PHX","C","101","1434.1166666667","20","33","22","11","53","75.71","206","9.71","16.04","383","283","152","53","18","22","24","12","12","0","0","4","38","38","53","41","22","24","30","44.44"
"850","Andrew MacDonald","NYI","D","181","4082.0666666667","10","43","14","29","53","30.29","186","5.38","11.81","498","297","117","19","7","18","83","35","33","1","1","34","113","139","122","302","439","0","1","0.00"
"860","Mathieu Perreault","WSH","C","120","1422.7666666667","27","26","17","9","53","70.67","129","20.93","13.98","245","184","157","65","6","7","50","25","25","0","0","31","34","69","69","103","44","463","503","47.93"
"874","Mark Letestu","CBJ, PIT","C","136","1978.6166666667","26","27","15","12","53","56.99","251","10.36","22.1","444","344","243","98","13","20","23","10","9","1","0","18","24","59","123","93","35","823","707","53.79"
"110","Chris Phillips","OTT","D","244","5126.1","14","38","16","22","52","28.57","248","5.65","9.63","532","361","126","18","8","22","93","45","44","1","0","34","180","74","347","414","431","0","0","-"
"150","Eric Brewer","STL, T.B","D","217","4848.6333333333","18","34","14","20","52","28.11","277","6.50","13.44","620","414","156","35","9","25","176","72","63","8","1","39","104","67","418","258","394","0","0","-"
"208","Jaroslav Spacek","CAR, MTL","D","179","3488.05","9","43","18","25","52","32.10","206","4.37","10.81","529","322","109","12","4","29","103","45","43","1","1","33","154","81","144","216","292","0","0","-"
"432","Eric Nystrom","CGY, DAL, MIN","L","238","3188.8","31","21","9","12","52","62.65","276","11.23","25.19","533","401","292","130","12","22","108","38","28","10","0","57","61","74","462","263","120","186","253","42.37"
"530","Jan Hejda","CBJ, COL","D","220","4581.7333333333","13","39","15","24","52","36.88","220","5.91","7.98","496","338","83","9","5","20","88","43","43","0","0","28","97","60","405","385","425","3","1","75.00"
"1179","Ryan Nugent-Hopkins","EDM","C","62","1091.55","18","34","19","15","52","71.23","134","13.43","15.79","249","186","146","57","7","14","16","7","7","0","0","8","32","34","38","52","33","227","378","37.52"
"1180","Gabriel Landeskog","COL","L","82","1526.1833333333","22","30","15","15","52","64.20","270","8.15","23.8","406","336","216","108","15","37","51","23","22","1","0","16","35","58","219","125","58","8","28","22.22"
"126","Arron Asham","PHI, PIT","R","180","1736.7","20","31","23","8","51","72.86","200","10.00","16.46","328","255","177","89","10","20","248","74","44","28","2","69","20","42","294","108","40","11","22","33.33"
"171","John Madden","CHI, FLA, MIN","C","186","2754.7","25","26","14","12","51","64.56","267","9.36","21.4","438","347","230","94","28","22","26","13","13","0","0","33","50","106","125","126","129","1272","1185","51.77"
"175","Tom Kostopoulos","CAR, CGY","R","239","2954.5666666667","20","31","17","14","51","55.43","273","7.33","27.09","482","365","252","134","24","27","237","79","56","21","2","71","49","78","406","263","139","53","119","30.81"
"307","Travis Moen","MTL","L","208","3010.8","23","28","20","8","51","60.00","251","9.16","25","395","328","259","152","8","26","192","55","35","16","4","64","40","55","365","353","134","16","30","34.78"
"452","Jim Slater","ATL, WPG","C","175","2277.05","29","22","15","7","51","62.96","278","10.43","25.35","432","366","248","132","19","33","121","50","43","7","0","49","37","74","327","188","117","1073","824","56.56"
"600","Rob Schremp","ATL, NYI","C","107","1496.5","20","31","16","15","51","78.46","157","12.74","15.63","284","216","155","46","9","24","24","12","12","0","0","25","64","79","52","52","39","411","470","46.65"
"798","Derek Dorsett","CBJ","R","204","2690.6166666667","20","31","19","12","51","68.00","306","6.54","28.15","493","397","255","158","15","31","522","155","101","44","10","148","21","66","496","347","101","42","70","37.50"
"1028","Adam Henrique","N.J","C","75","1357.2","16","35","18","17","51","76.12","133","12.03","13.5","192","167","136","76","7","9","7","2","1","1","0","14","25","49","83","61","59","501","526","48.78"
"305","Matt Hendricks","COL, WSH","L","211","2346.1","22","28","16","12","50","70.42","273","8.06","23.23","456","365","233","112","24","25","279","86","51","35","0","88","36","59","480","261","111","227","219","50.90"
"463","Chris Campoli","CHI, MTL, OTT","D","187","3409.1","10","40","13","27","50","38.76","198","5.05","10.93","418","275","121","22","8","25","60","27","25","2","0","30","89","49","243","309","228","0","1","0.00"
"504","Kevin Klein","NSH","D","228","4614.0666666667","7","43","20","23","50","34.25","257","2.72","11.21","534","371","118","15","10","20","55","22","19","3","0","23","167","87","313","267","471","0","0","-"
"547","Nate Thompson","NYI, T.B","C","218","3151.4166666667","21","29","19","10","50","71.43","300","7.00","28.04","493","403","315","162","28","27","106","41","33","8","0","40","43","95","342","240","228","976","875","52.73"
"624","Peter Regin","OTT","C","140","1844.1","18","32","18","14","50","65.79","237","7.59","24.02","407","325","253","132","11","24","34","17","17","0","0","30","36","91","104","207","50","401","512","43.92"
"763","Colin Greening","OTT","C","106","1640.5666666667","23","27","15","12","50","61.73","241","9.54","24.41","382","315","226","125","9","26","56","21","17","4","0","21","35","42","245","171","57","37","49","43.02"
"1020","Travis Hamonic","NYI","D","135","2974.6833333333","7","43","18","25","50","35.71","242","2.89","10.4","555","357","117","15","20","36","176","55","43","6","6","36","102","82","288","178","275","0","0","-"
"387","Zbynek Michalek","PHX, PIT","D","207","4567.2","10","39","17","22","49","26.78","285","3.51","10.17","600","406","109","13","9","26","84","42","42","0","0","32","87","39","183","512","449","0","0","-"
"977","Jack Hillen","NSH, NYI","D","188","3405.6333333333","9","40","23","17","49","34.75","210","4.29","12.07","461","303","147","38","7","31","109","49","47","1","1","30","79","95","134","353","333","1","0","100.00"
"21","Scott Niedermayer","ANA","D","80","2120.3","10","38","13","25","48","41.38","168","5.95","9.79","304","218","107","29","5","17","38","19","19","0","0","10","50","46","58","45","80","0","1","0.00"
"267","Steve Reinprecht","FLA","C","111","1660.5","20","28","21","7","48","64.86","155","12.90","18.73","255","209","160","85","5","20","24","12","12","0","0","26","37","48","52","135","78","561","600","48.32"
"269","Mathieu Darche","MTL","L","149","1719.0833333333","22","26","17","9","48","64.00","210","10.48","22.29","347","281","221","138","15","19","32","14","14","0","0","24","23","40","191","200","87","16","29","35.56"
"377","Johnny Oduya","ATL, CHI, N.J, WPG","D","230","4781.4333333333","8","40","17","23","48","30.57","240","3.33","9.58","576","373","120","12","7","22","85","41","40","1","0","44","119","93","190","418","413","0","0","-"
"442","Daniel Paille","BOS, BUF","L","188","2321.9833333333","25","23","13","10","48","73.85","254","9.84","22.71","391","327","231","140","16","20","55","19","15","3","1","30","34","55","163","242","65","6","14","30.00"
"663","Brandon Yip","COL, NSH","R","138","1818.7166666667","26","22","16","6","48","64.86","233","11.16","21.35","382","312","225","102","11","23","104","43","39","4","0","29","38","39","171","122","39","7","15","31.82"
"1158","Alexander Burmistrov","ATL, WPG","C","150","2244.4166666667","19","29","12","17","48","57.83","215","8.84","20.39","398","306","213","80","8","12","69","32","31","1","0","55","65","90","180","168","37","537","723","42.62"
"68","Petr Sykora","MIN, N.J","R","96","1472.1166666667","23","24","13","11","47","71.21","183","12.57","17.03","338","259","202","63","8","18","48","22","22","0","0","11","40","29","21","72","17","12","10","54.55"
"170","Andrew Ference","BOS","D","193","3623.4666666667","9","38","12","26","47","30.52","245","3.67","8.86","556","363","99","19","7","27","122","40","31","6","3","38","84","15","200","331","229","1","0","100.00"
"717","Justin Abdelkader","DET","L","205","2437.2333333333","18","29","23","6","47","57.32","329","5.47","27.36","563","461","313","147","18","29","158","61","51","10","0","77","41","40","488","337","101","614","586","51.17"
"959","Lars Eller","MTL, STL","C","163","2142.85","25","22","17","5","47","66.20","216","11.57","22.08","445","322","247","114","16","17","118","54","53","0","1","32","58","67","165","252","78","511","624","45.02"
"1169","Matt Read","PHI","R","79","1347.8166666667","24","23","9","14","47","66.20","155","15.48","17.95","283","229","162","85","9","15","12","6","6","0","0","16","27","36","82","127","58","142","204","41.04"
"138","Willie Mitchell","L.A, VAN","D","181","4018.1166666667","14","32","11","21","46","30.07","210","6.67","7.15","496","317","91","14","6","27","113","45","39","5","1","39","129","56","141","311","303","0","1","0.00"
"433","Johnny Boychuk","BOS","D","197","3902.5666666667","13","33","16","17","46","27.22","421","3.09","14.01","858","601","140","23","18","44","141","41","28","9","4","37","72","25","354","458","306","0","0","-"
"449","Ben Eager","ATL, CHI, EDM, S.J","L","191","1761.3","22","24","15","9","46","71.88","221","9.95","18.6","371","295","183","75","9","27","347","103","74","19","10","64","54","46","211","136","51","0","5","0.00"
"514","Patrick O'Sullivan","CAR, EDM, MIN, PHX","C","127","1910.95","15","31","24","7","46","59.74","275","5.45","20.8","499","388","227","78","17","24","38","19","19","0","0","23","54","50","54","115","60","96","159","37.65"
"588","Rostislav Olesz","CHI, FLA","L","128","1866.1","20","26","17","9","46","66.67","255","7.84","23.43","404","333","237","124","12","25","42","21","21","0","0","28","25","67","156","155","54","4","17","19.05"
"706","Matt Niskanen","DAL, PIT","D","212","3738.05","8","38","13","25","46","29.68","305","2.62","15.17","721","480","144","19","6","33","115","52","49","3","0","19","72","41","340","450","205","0","0","-"
"945","Mikael Backlund","CGY","C","137","1802.3333333333","15","31","16","15","46","63.01","276","5.43","21.97","470","384","226","90","13","22","40","20","20","0","0","24","56","77","72","93","42","646","705","47.82"
"1073","Matt Gilroy","NYR, OTT, T.B","D","194","3121.05","10","36","16","20","46","35.38","237","4.22","12.41","451","305","147","33","11","18","55","22","20","1","1","19","70","43","155","254","214","1","0","100.00"
"6","Mike Modano","DAL, DET","C","99","1341.6666666667","18","27","16","11","45","67.16","194","9.28","15.35","333","262","152","50","6","14","30","15","15","0","0","19","54","52","29","94","21","560","561","49.96"
"12","Bill Guerin","PIT","R","78","1367.2666666667","21","24","12","12","45","51.72","227","9.25","24.19","377","310","214","105","9","20","75","26","20","5","1","16","38","9","77","52","13","14","14","50.00"
"78","Richard Park","NYI, PIT","R","135","1865.2333333333","16","29","14","15","45","68.18","190","8.42","16.76","319","253","197","81","15","19","40","20","20","0","0","22","37","70","67","132","74","757","680","52.68"
